Application,Start Time,End Time,Duration (seconds)
py,2025-01-30 19:48:36,2025-01-30 19:48:47,11.01
py,2025-01-30 19:48:50,2025-01-30 19:48:56,6.01
py,2025-01-30 19:49:00,2025-01-30 19:49:04,4.0
py,2025-01-30 19:51:07,2025-01-30 19:51:11,4.0
py,2025-01-30 19:51:43,2025-01-30 19:51:50,7.01
py,2025-01-30 19:52:04,2025-01-30 19:52:06,2.0
py,2025-01-30 19:53:06,2025-01-30 19:53:09,3.0
explorer,2025-01-30 19:48:58,2025-01-30 19:49:00,2.0
explorer,2025-01-30 19:49:04,2025-01-30 19:49:06,2.0
EXCEL.EXE,2025-01-30 19:49:06,2025-01-30 19:49:15,9.01
EXCEL.EXE,2025-01-30 19:49:16,2025-01-30 19:49:25,9.0
Code,2025-01-30 19:52:06,2025-01-30 19:52:08,2.0
Code,2025-01-30 19:52:14,2025-01-30 19:52:29,15.01
Code,2025-01-30 19:52:37,2025-01-30 19:52:51,14.02
Code,2025-01-30 19:52:55,2025-01-30 19:52:57,2.0
Code,2025-01-30 19:53:13,2025-01-30 19:53:15,2.0
Edge: Screen Time Tracker Update,2025-01-30 19:49:29,2025-01-30 19:50:03,34.06
Edge: Screen Time Tracker Update,2025-01-30 19:50:07,2025-01-30 19:50:42,35.04
Edge: Screen Time Tracker Update,2025-01-30 19:50:46,2025-01-30 19:51:06,20.02
Edge: Screen Time Tracker Update,2025-01-30 19:51:30,2025-01-30 19:51:38,8.01
Edge: Screen Time Tracker Update,2025-01-30 19:51:50,2025-01-30 19:52:03,13.02
Edge: Screen Time Tracker Update,2025-01-30 19:52:10,2025-01-30 19:52:14,4.0
Edge: Screen Time Tracker Update,2025-01-30 19:52:29,2025-01-30 19:52:36,7.01
Edge: Screen Time Tracker Update,2025-01-30 19:52:53,2025-01-30 19:52:55,2.0
Edge: Screen Time Tracker Update,2025-01-30 19:52:57,2025-01-30 19:53:06,9.01
Edge: Screen Time Tracker Update,2025-01-30 19:53:09,2025-01-30 19:53:12,3.0
Edge: Screen Time Tracker Update,2025-01-30 19:53:16,2025-01-30 19:53:31,15.02
Edge: Screen Time Tracker Update,2025-01-30 19:53:33,2025-01-30 19:53:40,7.01
Idle Time,2025-01-30 19:50:03,2025-01-30 19:50:07,4.01
Idle Time,2025-01-30 19:51:11,2025-01-30 19:51:29,18.01
Idle Time,2025-01-30 19:51:38,2025-01-30 19:51:42,4.0
Edge: New tab,2025-01-30 19:50:42,2025-01-30 19:50:44,2.0
Edge: consecutive meaning,2025-01-30 19:50:44,2025-01-30 19:50:46,2.0
